,name,description,category,price,page_name,loc,Personal_S_Price,Large_S_Price
64,Veggie Supreme,"Capsicum, onions, mushrooms, tomatoes, sweet corn, black olives.",Pizza,619,PizzaHut,Dhaka,329.0,1089.0
65,Double Cheese,Mounds of golden melting cheese on a rich bed of red tomato sauce.,Pizza,619,PizzaHut,Dhaka,329.0,1089.0
66,Spicy Kala Bhuna,Spicy Kala Bhuna,Pizza,709,PizzaHut,Dhaka,379.0,1239.0
67,BBQ Chicken,"BBQ Chicken, Green Chillies, Sweet Corn",Pizza,709,PizzaHut,Dhaka,379.0,1239.0
68,Smoky Grilled Buzz,"Smoked Chicken, Mushroom, Onion and Red Paprika",Pizza,709,PizzaHut,Dhaka,379.0,1239.0
69,Beef Pepperoni,"Beef Pepperoni,",Pizza,709,PizzaHut,Dhaka,379.0,1239.0
70,Red N Hot.,"Spicy chicken, beef, onions, tomatoes, green chilies",Pizza,819,PizzaHut,Dhaka,429.0,1359.0
71,Supreme.,"Spicy chicken, chicken & beef topped with onions, mushrooms, capsicum.",Pizza,819,PizzaHut,Dhaka,429.0,1359.0
72,Chicken Supreme.,Chicken Supreme.,Pizza,819,PizzaHut,Dhaka,429.0,1359.0
73,Chicken Classic.,"Spicy chicken, tomatoes, onions, capsicum, mushrooms, black olives.",Pizza,819,PizzaHut,Dhaka,429.0,1359.0
74,Chicken Delight.,"Lebanese chicken, chicken sausage, capsicum, tomatoes, jalapenos, black olives.",Pizza,819,PizzaHut,Dhaka,429.0,1359.0
75,Bbq Temptation .,"Spicy chicken marinated in BBQ sauce, onions, capsicum, tomatoes, green chilies.",Pizza,819,PizzaHut,Dhaka,429.0,1359.0
76,Triple Chicken Feast,"Smoked Chicken, Lebanese chicken, spicy chicken.",Pizza,899,PizzaHut,Dhaka,479.0,1529.0
77,Bbq Blast,"Spicy chicken marinated in BBQ sauce, chicken sausage, onions, mushrooms, jalapenos.",Pizza,899,PizzaHut,Dhaka,479.0,1529.0
78,The Works,"Beef, Beef Pepperoni, Spicy Chicken, Chicken,  Capsicum, Onions, Mushrooms",Pizza,899,PizzaHut,Dhaka,479.0,1529.0
